car_park_no,x_coord,y_coord,xy_coord,LatLng,Latitude,Longitude,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement
Q86,24722.8381,30771.7904,"24722.8381, 30771.7904","1.2945573649455273,103.8038718686428",1.2945573649455273,103.8038718686428,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,1.8,N
Q87,23873.3239,32354.7312,"23873.3239, 32354.7312","1.3088727527662811,103.79623840957758",1.3088727527662811,103.79623840957758,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2,N
Q88,24354.2159,30597.8694,"24354.2159, 30597.8694","1.2929844513407114,103.80055965999868",1.2929844513407114,103.80055965999868,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2,N
Q89,23741.0378,32063.6114,"23741.0378, 32063.6114","1.3062399629669037,103.79504979540208",1.3062399629669037,103.79504979540208,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2,N
Q92,25236.2422,30797.7383,"25236.2422, 30797.7383","1.2947920772151447,103.80848502291813",1.2947920772151447,103.80848502291813,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,4.5,N
Q93,25189.3828,30813.4336,"25189.3828, 30813.4336","1.2949340151175746,103.80806396961202",1.2949340151175746,103.80806396961202,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,4.5,N
Q94,24354.3978,32217.4868,"24354.3978, 32217.4868","1.3076316294572217,103.80056110555307",1.3076316294572217,103.80056110555307,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,NO,NO,0,0,N
Q95,24433.0873,32115.9271,"24433.0873, 32115.9271","1.3067131729994976,103.80126817979719",1.3067131729994976,103.80126817979719,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,0,N
Q96,24782.1998,30858.4456,"24782.1998, 30858.4456","1.2953410464846389,103.8044052501444",1.2953410464846389,103.8044052501444,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N
Q97,24000.9896,31284.4381,"24000.9896, 31284.4381","1.2991934634263054,103.79738568445748",1.2991934634263054,103.79738568445748,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,0,N
Q98,23989.771,31078.5446,"23989.771, 31078.5446","1.2973314427732583,103.79728490671081",1.2973314427732583,103.79728490671081,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,4.5,N
Q99,24191.1767,31958.4905,"24191.1767, 31958.4905","1.3052893499819962,103.79909451804177",1.3052893499819962,103.79909451804177,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,4.5,N
RCM,30452.1642,32170.1999,"30452.1641999999, 32170.1999","1.3072041035458277,103.85535244040271",1.3072041035458277,103.85535244040271,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,6,2,N
